source,target,probability
T1001,T1074,66.67
T1001,T1140,16.67
T1001,T1189,16.67
T1003,T1018,2.17
T1003,T1055,2.17
T1003,T1057,6.52
T1003,T1069,21.74
T1003,T1082,2.17
T1003,T1090,4.35
T1003,T1120,2.17
T1003,T1201,4.35
T1003,T1204,2.17
T1003,T1518,2.17
T1003,T1553,2.17
T1003,T1566,43.48
T1003,T1572,4.35
T1005,T1001,10.53
T1005,T1025,2.63
T1005,T1030,2.63
T1005,T1039,13.16
T1005,T1074,28.95
T1005,T1114,7.89
T1005,T1140,2.63
T1005,T1189,7.89
T1005,T1482,2.63
T1005,T1491,2.63
T1005,T1561,2.63
T1005,T1565,5.26
T1005,T1573,5.26
T1005,T1585,2.63
T1005,T1587,2.63
T1006,T1484,100.00
T1007,T1124,18.18
T1007,T1204,27.27
T1007,T1550,9.09
T1007,T1552,18.18
T1007,T1569,27.27
T1008,T1070,25.00
T1008,T1083,50.00
T1008,T1105,25.00
T1010,T1110,50.00
T1010,T1560,50.00
T1012,T1018,7.14
T1012,T1021,64.29
T1012,T1053,7.14
T1012,T1218,7.14
T1012,T1219,7.14
T1012,T1620,7.14
T1014,T1053,40.00
T1014,T1113,20.00
T1014,T1518,20.00
T1014,T1553,20.00
T1016,T1007,2.63
T1016,T1033,23.68
T1016,T1049,57.89
T1016,T1124,5.26
T1016,T1199,2.63
T1016,T1204,7.89
T1018,T1053,65.62
T1018,T1078,6.25
T1018,T1489,3.12
T1018,T1496,3.12
T1018,T1505,9.38
T1018,T1518,3.12
T1018,T1539,3.12
T1018,T1552,3.12
T1018,T1558,3.12
T1020,T1547,100.00
T1021,T1016,2.27
T1021,T1018,50.00
T1021,T1053,22.73
T1021,T1072,2.27
T1021,T1080,2.27
T1021,T1091,4.55
T1021,T1204,2.27
T1021,T1496,6.82
T1021,T1505,4.55
T1021,T1553,2.27
T1025,T1001,33.33
T1025,T1140,33.33
T1025,T1491,33.33
T1027,T1003,5.26
T1027,T1053,1.32
T1027,T1055,1.32
T1027,T1057,2.63
T1027,T1090,1.32
T1027,T1113,1.32
T1027,T1120,2.63
T1027,T1137,2.63
T1027,T1566,21.05
T1027,T1588,60.53
T1029,T1082,100.00
T1030,T1140,75.00
T1030,T1587,25.00
T1033,T1007,12.12
T1033,T1047,3.03
T1033,T1078,9.09
T1033,T1080,3.03
T1033,T1124,6.06
T1033,T1199,6.06
T1033,T1204,24.24
T1033,T1216,3.03
T1033,T1221,6.06
T1033,T1529,6.06
T1033,T1550,3.03
T1033,T1552,6.06
T1033,T1569,12.12
T1036,T1003,4.48
T1036,T1027,20.90
T1036,T1046,11.94
T1036,T1069,1.49
T1036,T1095,2.99
T1036,T1104,2.99
T1036,T1106,10.45
T1036,T1112,19.40
T1036,T1135,2.99
T1036,T1498,1.49
T1036,T1553,1.49
T1036,T1556,4.48
T1036,T1566,4.48
T1036,T1571,5.97
T1036,T1588,4.48
T1037,T1059,50.00
T1037,T1110,50.00
T1039,T1025,28.57
T1039,T1074,28.57
T1039,T1083,14.29
T1039,T1140,14.29
T1039,T1585,14.29
T1040,T1027,40.00
T1040,T1095,20.00
T1040,T1571,40.00
T1041,T1057,5.26
T1041,T1083,5.26
T1041,T1190,26.32
T1041,T1203,15.79
T1041,T1567,47.37
T1046,T1003,4.35
T1046,T1027,30.43
T1046,T1095,8.70
T1046,T1135,30.43
T1046,T1137,4.35
T1046,T1571,13.04
T1046,T1588,8.70
T1047,T1220,100.00
T1048,T1041,33.33
T1048,T1068,16.67
T1048,T1133,16.67
T1048,T1190,8.33
T1048,T1203,8.33
T1048,T1567,8.33
T1048,T1588,8.33
T1049,T1007,17.86
T1049,T1033,60.71
T1049,T1078,7.14
T1049,T1199,3.57
T1049,T1204,7.14
T1049,T1552,3.57
T1052,T1203,100.00
T1053,T1029,1.96
T1053,T1033,1.96
T1053,T1082,7.84
T1053,T1113,17.65
T1053,T1204,1.96
T1053,T1218,9.80
T1053,T1489,1.96
T1053,T1505,17.65
T1053,T1518,17.65
T1053,T1552,1.96
T1053,T1553,5.88
T1053,T1593,5.88
T1053,T1596,1.96
T1053,T1608,5.88
T1055,T1012,12.00
T1055,T1018,4.00
T1055,T1021,20.00
T1055,T1053,8.00
T1055,T1090,20.00
T1055,T1091,4.00
T1055,T1204,8.00
T1055,T1505,4.00
T1055,T1518,4.00
T1055,T1572,12.00
T1055,T1608,4.00
T1056,T1027,4.00
T1056,T1036,36.00
T1056,T1104,4.00
T1056,T1112,8.00
T1056,T1135,4.00
T1056,T1534,12.00
T1056,T1559,4.00
T1056,T1566,8.00
T1056,T1570,16.00
T1056,T1654,4.00
T1057,T1012,2.78
T1057,T1014,2.78
T1057,T1018,2.78
T1057,T1021,16.67
T1057,T1049,5.56
T1057,T1053,5.56
T1057,T1055,19.44
T1057,T1090,22.22
T1057,T1091,2.78
T1057,T1219,5.56
T1057,T1518,5.56
T1057,T1572,8.33
T1059,T1001,1.01
T1059,T1005,4.04
T1059,T1021,1.01
T1059,T1036,1.01
T1059,T1039,1.01
T1059,T1041,1.01
T1059,T1046,1.01
T1059,T1048,1.01
T1059,T1068,1.01
T1059,T1070,2.02
T1059,T1074,4.04
T1059,T1092,1.01
T1059,T1105,2.02
T1059,T1114,1.01
T1059,T1132,2.02
T1059,T1133,1.01
T1059,T1136,9.09
T1059,T1140,3.03
T1059,T1187,1.01
T1059,T1189,2.02
T1059,T1190,1.01
T1059,T1203,4.04
T1059,T1213,1.01
T1059,T1485,1.01
T1059,T1486,1.01
T1059,T1543,12.12
T1059,T1546,3.03
T1059,T1554,1.01
T1059,T1555,13.13
T1059,T1559,1.01
T1059,T1564,2.02
T1059,T1568,1.01
T1059,T1574,1.01
T1059,T1584,9.09
T1059,T1586,6.06
T1059,T1609,1.01
T1059,T1659,1.01
T1068,T1027,5.56
T1068,T1070,11.11
T1068,T1083,11.11
T1068,T1105,22.22
T1068,T1133,22.22
T1068,T1210,16.67
T1068,T1562,5.56
T1068,T1574,5.56
T1069,T1057,21.05
T1069,T1566,68.42
T1069,T1572,5.26
T1069,T1598,5.26
T1070,T1027,2.50
T1070,T1036,2.50
T1070,T1056,7.50
T1070,T1105,77.50
T1070,T1202,2.50
T1070,T1570,5.00
T1070,T1588,2.50
T1071,T1010,1.96
T1071,T1021,1.96
T1071,T1059,13.73
T1071,T1110,1.96
T1071,T1119,9.80
T1071,T1123,1.96
T1071,T1217,1.96
T1071,T1547,21.57
T1071,T1560,41.18
T1071,T1568,1.96
T1071,T1657,1.96
T1072,T1078,25.00
T1072,T1539,25.00
T1072,T1553,25.00
T1072,T1608,25.00
T1074,T1006,3.23
T1074,T1030,9.68
T1074,T1041,3.23
T1074,T1068,3.23
T1074,T1133,3.23
T1074,T1140,25.81
T1074,T1189,3.23
T1074,T1190,6.45
T1074,T1203,3.23
T1074,T1482,6.45
T1074,T1546,3.23
T1074,T1567,3.23
T1074,T1573,9.68
T1074,T1585,3.23
T1074,T1587,9.68
T1074,T1622,3.23
T1078,T1047,32.26
T1078,T1102,51.61
T1078,T1125,6.45
T1078,T1497,9.68
T1080,T1078,25.00
T1080,T1204,25.00
T1080,T1221,25.00
T1080,T1550,25.00
T1082,T1007,2.22
T1082,T1016,62.22
T1082,T1033,6.67
T1082,T1049,6.67
T1082,T1078,2.22
T1082,T1204,2.22
T1082,T1221,4.44
T1082,T1552,2.22
T1082,T1569,2.22
T1082,T1614,8.89
T1083,T1027,4.76
T1083,T1036,2.38
T1083,T1046,2.38
T1083,T1056,2.38
T1083,T1070,4.76
T1083,T1090,2.38
T1083,T1105,11.90
T1083,T1187,2.38
T1083,T1222,4.76
T1083,T1562,4.76
T1083,T1564,14.29
T1083,T1570,2.38
T1083,T1574,11.90
T1083,T1589,11.90
T1083,T1592,7.14
T1083,T1606,2.38
T1083,T1615,2.38
T1083,T1657,4.76
T1087,T1059,6.90
T1087,T1071,13.79
T1087,T1098,34.48
T1087,T1557,3.45
T1087,T1560,13.79
T1087,T1583,24.14
T1087,T1587,3.45
T1090,T1012,19.35
T1090,T1018,9.68
T1090,T1021,32.26
T1090,T1053,3.23
T1090,T1113,3.23
T1090,T1199,3.23
T1090,T1204,3.23
T1090,T1219,9.68
T1090,T1505,3.23
T1090,T1518,6.45
T1090,T1553,3.23
T1090,T1597,3.23
T1091,T1014,14.29
T1091,T1053,42.86
T1091,T1204,14.29
T1091,T1505,14.29
T1091,T1518,14.29
T1092,T1586,100.00
T1095,T1003,22.22
T1095,T1027,55.56
T1095,T1069,11.11
T1095,T1571,11.11
T1098,T1071,6.25
T1098,T1217,6.25
T1098,T1560,12.50
T1098,T1583,68.75
T1098,T1595,6.25
T1102,T1047,100.00
T1104,T1027,25.00
T1104,T1046,25.00
T1104,T1095,25.00
T1104,T1106,25.00
T1105,T1027,7.79
T1105,T1036,29.87
T1105,T1040,1.30
T1105,T1056,25.97
T1105,T1057,1.30
T1105,T1095,2.60
T1105,T1112,3.90
T1105,T1490,1.30
T1105,T1505,1.30
T1105,T1556,1.30
T1105,T1559,12.99
T1105,T1566,3.90
T1105,T1570,3.90
T1105,T1588,2.60
T1106,T1027,33.33
T1106,T1046,33.33
T1106,T1095,6.67
T1106,T1135,6.67
T1106,T1566,6.67
T1106,T1571,6.67
T1106,T1588,6.67
T1110,T1059,80.00
T1110,T1114,5.00
T1110,T1115,10.00
T1110,T1651,5.00
T1111,T1040,33.33
T1111,T1106,33.33
T1111,T1621,33.33
T1112,T1027,28.57
T1112,T1040,4.76
T1112,T1046,14.29
T1112,T1104,4.76
T1112,T1106,28.57
